tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
199,12:30.9,15:50.7,377,6 Ave & Canal St,40.72243797,-74.00566443,368,Carmine St & 6 Ave,40.73038599,-74.00214988,38951,Subscriber,1978,1,3/1/2020,3/1/2020
1534,14:44.8,40:19.7,400,Pitt St & Stanton St,40.71926081,-73.98178024,330,Reade St & Broadway,40.71450451,-74.00562789,37858,Subscriber,1975,1,3/1/2020,3/1/2020
249,26:59.9,31:09.6,468,Broadway & W 56 St,40.7652654,-73.98192338,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,41128,Customer,1969,0,3/1/2020,3/1/2020
285,59:04.2,03:50.1,3711,E 13 St & Avenue A,40.72966729,-73.98067966,3656,E 2 St & Avenue A,40.72307749,-73.98583621,41250,Subscriber,1992,1,3/1/2020,3/1/2020
1125,49:42.0,08:27.9,285,Broadway & E 14 St,40.73454567,-73.99074142,3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,36911,Subscriber,1993,1,3/1/2020,3/1/2020
1074,37:20.0,55:14.7,405,Washington St & Gansevoort St,40.739323,-74.008119,3699,W 50 St & 9 Ave,40.76360468,-73.98917958,40469,Subscriber,1997,1,3/1/2020,3/1/2020
511,50:54.4,59:25.7,3294,E 91 St & Park Ave,40.7835016,-73.955327,3312,1 Ave & E 94 St,40.7817212,-73.94594,41011,Subscriber,1989,1,3/1/2020,3/1/2020
719,57:57.1,09:56.2,3749,Lexington Ave & E 36 St,40.74757396,-73.97880077,3141,1 Ave & E 68 St,40.76500525,-73.95818491,38513,Subscriber,1977,1,3/1/2020,3/1/2020
229,29:29.0,33:18.0,531,Forsyth St & Broome St,40.71893904,-73.99266288,3786,Division St & Bowery,40.714193,-73.996732,26091,Subscriber,1996,1,3/1/2020,3/1/2020
298,45:03.2,50:01.9,3117,Franklin St & Dupont St,40.73564,-73.95866,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,41284,Subscriber,1965,1,3/1/2020,3/1/2020
1126,55:27.0,14:13.1,261,Johnson St & Gold St,40.69474881,-73.98362464,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,40641,Subscriber,1987,2,3/1/2020,3/1/2020
404,04:06.7,10:51.2,167,E 39 St & 3 Ave,40.7489006,-73.97604882,3134,3 Ave & E 62 St,40.76312584,-73.96526895,32243,Subscriber,1980,1,3/1/2020,3/1/2020
558,10:31.4,19:50.3,3335,Union St & 4 Ave,40.6772744,-73.98282002,392,Jay St & Tech Pl,40.695065,-73.987167,41056,Subscriber,1990,1,3/1/2020,3/1/2020
555,19:46.8,29:02.0,174,E 25 St & 1 Ave,40.7381765,-73.97738662,280,E 10 St & 5 Ave,40.73331967,-73.99510132,39010,Subscriber,2000,2,3/1/2020,3/1/2020
455,21:52.3,29:27.5,3165,Central Park West & W 72 St,40.77579377,-73.97620574,3443,W 52 St & 6 Ave,40.76132983,-73.97982001,40845,Subscriber,1978,1,3/1/2020,3/1/2020
520,33:39.3,42:20.2,509,9 Ave & W 22 St,40.7454973,-74.00197139,491,E 24 St & Park Ave S,40.74096374,-73.98602213,39666,Subscriber,1968,1,3/1/2020,3/1/2020
830,39:19.8,53:10.5,489,10 Ave & W 28 St,40.75066386,-74.00176802,128,MacDougal St & Prince St,40.72710258,-74.00297088,40238,Subscriber,1989,2,3/1/2020,3/1/2020
1019,43:53.1,00:52.4,3382,Carroll St & Smith St,40.680611,-73.99475825,3549,Grand Ave & Bergen St,40.678045,-73.962408,40319,Subscriber,1975,2,3/1/2020,3/1/2020
379,49:23.1,55:43.1,3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126,3313,6 Ave & 12 St,40.6663181,-73.9854617,39222,Subscriber,1971,2,3/1/2020,3/1/2020
419,51:20.8,58:19.9,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,3159,W 67 St & Broadway,40.77492513,-73.98266566,31238,Subscriber,1999,1,3/1/2020,3/1/2020
326,51:41.0,57:07.0,3574,Prospect Pl & Underhill Ave,40.6769694,-73.96579,3346,Berkeley Pl & 7 Ave,40.67514684,-73.97523209,19327,Subscriber,1893,2,3/1/2020,3/1/2020
819,06:57.6,20:37.2,453,W 22 St & 8 Ave,40.74475148,-73.99915362,499,Broadway & W 60 St,40.76915505,-73.98191841,33566,Subscriber,1984,1,3/1/2020,3/1/2020
147,09:05.3,11:32.9,3592,Crescent St & Broadway,40.7633589,-73.9286471,3575,Crescent St & 34 Ave,40.76108,-73.930562,40270,Subscriber,1979,1,3/1/2020,3/1/2020
